رقم البلوك / Block Number2,رقم القطعة / Land Number,النموذج / Model,مساحة الأرض / Land Area,Build-UP Area,عدد غرف النوم / Number of Bedrooms,عدد دورات المياه / Number Of Bathrooms ,Master Bedroom size / مساحة غرفة النوم الرئيسية,Living Room size / مساحة غرفة المعيشة,Kitchen size / مساحة المطبخ,Guestroom size / مساحة المجلس,Unit front compass / واجهة الوحدة,Availability,,,,
14,245,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
14,246,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
14,247,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
14,248,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
14,249,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,North,Reserved,,,,
14,250,B (Duplex),250.000,338.127,3,6,23.25,15.21,17.43,20.12,South,Reserved,,,,
14,251,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved,,,,
14,252,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
14,253,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,North,Reserved ,,,,
14,254,C (Zero Lot),250.000,339.744,3,6,22.13,24.08,21.12,25.97,South,Reserved,,,,
